0.0005,-0.289447,-0.619633
#0.0205,-0.38191,-0.519131
0.0405,-0.333668,-0.559332
#0.0605,-0.361809,-0.462849
0.0805,-0.325628,-0.547271
#0.1005,-0.353769,-0.523151
0.1205,0.067839,-0.49099
#0.1405,-0.289447,-0.49903
0.1605,-0.353769,-0.49903
#0.1805,-0.309548,-0.50305
0.2005,-0.329648,-0.458829
#0.2205,-0.321608,-0.49099
0.2405,-0.317588,-0.47893
#0.2605,-0.309548,-0.47893
0.2805,-0.301508,-0.47491
#0.3005,-0.305528,-0.454809
0.3205,-0.301005,-0.458829
#0.3405,-0.289447,-0.458829
0.3605,-0.289447,-0.442749
#0.3805,-0.317588,-0.426668
0.4005,-0.261307,-0.446769
#0.4205,-0.285427,-0.418628
0.4405,-0.301508,-0.414608
#0.4605,-0.261307,-0.454809
0.4805,-0.273367,-0.430688
#0.5005,-0.269347,-0.410588
0.5205,-0.276884,-0.402548
#0.5405,-0.265327,-0.410588
0.5605,-0.253266,-0.398528
#0.5805,-0.293467,-0.382447
0.6005,-0.212563,-0.426668
#0.6205,-0.265327,-0.370387
0.6405,-0.257286,-0.370387
#0.6605,-0.229146,-0.382447
0.6805,-0.237186,-0.370387
#0.7005,-0.241206,-0.362347
0.7205,-0.237186,-0.358327
#0.7405,-0.233166,-0.366367
0.7605,-0.253266,-0.370387
#0.7805,-0.249246,-0.346266
0.8005,-0.221106,-0.358327
#0.8205,-0.241206,-0.334206
0.8405,-0.225126,-0.350286
#0.8605,-0.213065,-0.334206
0.8805,-0.209045,-0.350286
#0.9005,-0.225126,-0.330186
0.9205,-0.217085,-0.326166
#0.9405,-0.201005,-0.330186
0.9605,-0.217085,-0.318126
#0.9805,-0.213065,-0.330186
1.0005,-0.217085,-0.302045
#1.0205,-0.201005,-0.306568
1.0405,-0.205025,-0.330186
#1.0605,-0.196985,-0.318126
1.0805,-0.192965,-0.306065
#1.1005,-0.220603,-0.281945
1.1205,-0.192965,-0.294005
#1.1405,-0.188442,-0.285965
1.1605,-0.196985,-0.298025
#1.1805,-0.192965,-0.289985
1.2005,-0.192965,-0.285965
#1.2205,-0.176884,-0.281945
1.2405,-0.201005,-0.265864
#1.2605,-0.160804,-0.269884
1.2805,-0.192965,-0.269884
#1.3005,-0.172864,-0.257824
1.3205,-0.160804,-0.261844
#1.3405,-0.184925,-0.257824
1.3605,-0.168342,-0.261844
#1.3805,-0.168844,-0.245764
1.4005,-0.164322,-0.253804
#1.4205,-0.160804,-0.237724
1.4405,-0.172362,-0.225663
#1.4605,-0.160804,-0.245764
1.4805,-0.168342,-0.245764
#1.5005,-0.168844,-0.233704
1.5205,-0.152764,-0.225663
#1.5405,-0.152764,-0.237724
1.5605,-0.156784,-0.233704
#1.5805,-0.152764,-0.213603
1.6005,-0.152764,-0.226166
#1.6205,-0.156281,-0.217623
1.6405,-0.164824,-0.233704
#1.6605,-0.144724,-0.217623
1.6805,-0.140704,-0.221643
#1.7005,-0.140201,-0.201543
1.7205,-0.136683,-0.225663
#1.7405,-0.128643,-0.217623
1.7605,-0.144724,-0.201543
#1.7805,-0.140704,-0.213603
1.8005,-0.128643,-0.209583
#1.8205,-0.136683,-0.193503
1.8405,-0.144724,-0.181442
#1.8605,-0.124623,-0.201543
1.8805,-0.136683,-0.185462
#1.9005,-0.140704,-0.177422
1.9205,-0.116583,-0.193503
#1.9405,-0.132663,-0.177422
1.9605,-0.124623,-0.189482
#1.9805,-0.124623,-0.185965
